id,title,description,classification
487,Sensitive data is collected and shared to target advertising,"Sensitive data refers to information requiring special protection, such as health data, political and religious beliefs, ethnic origins, sexual life and financial information. The service collects and shares this data with third parties for advertising or marketing.",blocker
383,Your browser's Do Not Track (DNT) headers are respected,This service does respect the browser's Do Not Track header and disables all user tracking if it is enabled.,good
488,Your data is processed and stored in a country that is friendlier to user privacy protection,The Terms are governed by the applicable laws of a jurisdiction known for strong data regulations and user privacy protection. Usually contributors will need to explain in the Analysis view of each point linked to this Case the reason why it shall be applied.,good
395,Your browsing history can be viewed by the service,"The service can view your search history and the websites you visit, which is an extremely intrusive way of collecting information that may include personal and/or sensitive data.",blocker
386,The policy refers to documents that are missing or unfindable,"For instance, when the privacy policy refers to the cookie policy, but there is no link to a cookie policy, anywhere. It only applies to services that are impossible to contact to raise the issue, either because they don’t offer any contact method or they do not respond in a reasonable time.",blocker
199,The terms for this service are easy to read,"The Agreements are well-organised, define legal terms (where applicable), aren't needlessly long and may be pleasant to read.",good
198,The terms for this service are translated into different languages,"Although there's generally a unique binding language for the terms, they are translated to allow all users to understand the agreement they're accepting, no matter their native language.",neutral
290,This service does not guarantee that it or the products obtained through it meet your expectations or requirements,"This service provider informs its users that the services, information, products, or other materials provided on its website may not meet the users' expectations or requirements.",neutral
379,User-generated content can be blocked or censored for any reason,"The service reserves the right, for any or no reason, to refuse to post or reject user communications.",bad
489,Voice data is collected and shared with third-parties,"The service collects data and recordings of your voice when you communicate with a service verbally and may use and share them with third parties, that may use this data for marketing or advertising.",bad
490, The service is only available in some countries approved by its government,Countries under embargo or banned by the government of the country in question cannot use the service.,bad
491,All Traffic is unencrypted (no https),The service doesn’t employ TLS/SSL encryption to secure the traffic between your browser and the website you’re visiting. As a result the data transmitted may be monitored by unauthorized third parties.,blocker
287,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service","The service provider expressly does not claim to provide uninterrupted, timely, secure or error-free service.",neutral
164,Your personal data may be disclosed to comply with government requests without notice to you,"If the Government governing the Terms requests personal data of a user of this service, they may not inform/notify the user while complying with the request.",bad
503,You can set guidelines for the use of your personal information after your death,"After death, the deceased’s accounts may still exist and personal data could still be processed with no more control by the user. Citizens of some jurisdictions can set a digital testimony to guide the use of personal data by companies after death.",good
118,You waive your moral rights,"Moral rights are rights to creators of literary, dramatic, musical and artistic works, as well as directors of films.

""The moral rights include the right of attribution, the right to have a work published anonymously or pseudonymously, and the right to the integrity of the work. The preserving of the integrity of the work allows the author to object to alteration, distortion, or mutilation of the work that is ""prejudicial to the author's honor or reputation"". Anything else that may detract from the artist's relationship with the work even after it leaves the artist's possession or ownership may bring these moral rights into play. Moral rights are distinct from any economic rights tied to copyrights. Even if an artist has assigned his or her copyright rights to a work to a third party, he or she still maintains the moral rights to the work."" -Wikipedia

In general, any terms that use the exact words ""moral rights"" as rights that are waived will fall under this Case.",blocker
117,You waive your right to a class action.,"The right to be represented in a class action (or representative action) exists in the US and some European countries. It allows people who have been similarly injured by the same accused to take legal action by a single lawsuit instead of individually. Some Terms of Service try to limit that right. By agreeing to them, you could waive (= renounce to) your right to a class action, which might reduce your chances to be successful in a case.",bad
492,Your provided identifiable information is actively checked by the service,"The service checks if the required identifiable information you've provided is correct, and may do so on a regular basis. The check measures could be analyzing your browser information and/or providing the identifiable information to a third-party or the authority, thus compromising your anonymity.",bad
239,Private messages can be read,"The Service is able to access, scan, review or read all user communications, including private messages, which may contain personal or sensitive data.",blocker
493,This service is a subsidiary of Company X,"The service is a subsidiary of a certain company (called X in the title, to be replaced by the parent Company in each point's title). Company X’s Terms of Service may apply to the service.",neutral
494,An audio version of the Terms of Service is provided,This service provides an audio file of someone reading the agreements for users to play and listen to.,good
495,This service is only available for commercial use,Users can’t use the Service for individual or personal purposes (unless the Service consents): it is only for business to business (B2B).,neutral
496,You can’t close your account if an investigation is ongoing,"If an investigation is currently ongoing, you’re not allowed to close your account until it’s done or in an attempt to avoid investigation.",neutral
497,"Prices and fees may be changed at any time, without notice to you","The service reserves the right to change or modify its pricing and fees at any time, and such changes are effective immediately without need for further notice to the user.",bad
178,Logs are kept for an undefined period of time,"Logs are text files containing some information about web visitors, such as user agents (showing for instance that you're connecting from Firefox for Android) and ip addresses (which reveal your approximate location). This case applies to Services that may keep logs indefinitely, allowing user sessions to be tracked over time. Logs that are kept for a time ""consistent with applicable law"" also fall under this case, since this period of time may be murky or undefined.",bad
142,Only for your individual use,,neutral
498,The service does not use any third-party advertising services,The service does not put any paid third party advertisements on their platform,good
499,The service suspends your account after inactivity for a certain or uncertain time,,neutral
500,Security incidents are reported to the authorities,"If the service is encountering and dealing with a security incident involving potential losses or damages for its users, its reactions may be reported to the authority as part of a legal proceeding.",neutral
501,This Service does not keep any logs.,This service is committed to not store any log data at all.,good
502,Changes in policies are applied retroactively.,"This service requires that your behavior, and/or content, complies with the newest version of the regulations regardless of the time at which you have submitted it.",blocker
146,"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",,neutral
293,This service assumes no liability for any losses or damages resulting from any matter relating to the service,"The service assumes no liability for any damages the user incurs, including tangible (e.g. profits) and intangible losses (e.g. data), resulting from the use or inability to use the service or any other matter relating to the service.",neutral
228,Information is provided about what kind of information they collect,The Privacy Policy describes in detail the data collected through the website and through the services provided.,good
504,"Your personal data is used for automated decision-making, profiling or AI training","Personal data or content you share with the service may be processed to make decisions by automated means without human involvement. This includes profiling, which is any form of automated processing of your information to analyse or predict things like your economic situation, health, personal preferences or interests; as well as Artificial Intelligence training.",blocker
233,Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,"Even though the Do Not Track (DNT) header was not implemented perfectly, services should not track users whose browsers send a DNT header.",neutral
