id,title,description,classification
119,Your feedback is invited regarding changes to the terms.,The Service takes user suggestions into account to update its Terms.,good
333,Some personal data may be kept for business interests or legal obligations,"After the end of the data retention period and/or if you request the deletion of your data, they may still keep it for business interests (fraud detection, transactions...) or legal obligations (tax, legal reporting...)",bad
323,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting","Tracking technologies (such as web beacons, tracking pixels...) are employed on users and/or the service assigns a unique ID to a browser or device to track its behaviour.",bad
407,Content you post may be edited by the service for any reason,This service can edit any content on the service for whatever the reason and at their sole discretion.,blocker
243,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,"If the service gets acquired or is involved in a merger, bankruptcy, reorganisation or sale, your personal data may be transferred or sold.",bad
156,"Per the service's terms, you may not express negative opinions about them","Criticising, questioning, making objections or complaints about the Service, its staff or anything related to it is prohibited and constitutes a breach of the Terms.",bad
123,"When the service wants to change its terms, you are notified a week or more in advance.","Users will be notified a week before the Terms are somehow updated, which lets them a reasonable amount of time to carefully read the changes and perhaps stop using the services if they do not longer agree.",good
240,This service will continue using anonymized user-generated content after erasure of personal information,"If you delete your account or your information from this service, user-generated content such as comments and posts will remain and still be used, but on a pseudonymized or anonymized form so that they can't be linked back to you.",neutral
191,Only aggregate data is given to third parties,"The Service only shares your information in an aggregated form, which means an anonymized form
that can't be linked to a unique identity.",neutral
204,User suspension from the service will be fair and proportionate.,"The Service promises to fairly terminate users accounts, only with a reason, and may give them an opportunity to explain and defend themselves.",good
322,App required for this service requires broad device permissions,"The app of the service requires more device permissions than necessary. As a consequence it can compromise your privacy by accessing many functions and information from your device, such as precise location, contacts, device identifiers etc. ",bad
225,You can choose with whom you share content,Users can decide whether or not they want their content to be shared and they can control how and with whom it is shared.,good
409,You must provide your identifiable information,"The Service requires users to provide their identifiable information, including phone number, iD number or other information, even though this data collection isn’t essential for the purposes of the service. They may still allow pseudonyms in the foreground.",bad
